传统历史模拟 VaR(99%): 20641.04 元
时间加权历史模拟 VaR(99%, λ=0.99): 13553.79 元
EWMA 波动率加权 VaR(99%, λ=0.95): 10677.19 元
传统 Kupiec LR: 0.24, p-value: 0.6271
时间加权 Kupiec LR: 17.73, p-value: 0.0000
EWMA Kupiec LR: 34.16, p-value: 0.0000
2025-01-07 重平衡最小VaR权重：黄金ETF:0.5972, 红利低波ETF:0.0922, 纳斯达克ETF:0.3106
2025-01-14 重平衡最小VaR权重：黄金ETF:0.5972, 红利低波ETF:0.0922, 纳斯达克ETF:0.3106
2025-01-21 重平衡最小VaR权重：黄金ETF:0.5972, 红利低波ETF:0.0922, 纳斯达克ETF:0.3106
2025-02-05 重平衡最小VaR权重：黄金ETF:0.5972, 红利低波ETF:0.0922, 纳斯达克ETF:0.3106
2025-02-12 重平衡最小VaR权重：黄金ETF:0.5972, 红利低波ETF:0.0922, 纳斯达克ETF:0.3106
2025-02-19 重平衡最小VaR权重：黄金ETF:0.5972, 红利低波ETF:0.0922, 纳斯达克ETF:0.3106
2025-02-26 重平衡最小VaR权重：黄金ETF:0.5972, 红利低波ETF:0.0922, 纳斯达克ETF:0.3106
2025-03-05 重平衡最小VaR权重：黄金ETF:0.2605, 红利低波ETF:0.5731, 纳斯达克ETF:0.1663
2025-03-12 重平衡最小VaR权重：黄金ETF:0.2605, 红利低波ETF:0.5731, 纳斯达克ETF:0.1663
2025-03-19 重平衡最小VaR权重：黄金ETF:0.2605, 红利低波ETF:0.5731, 纳斯达克ETF:0.1663
2025-03-26 重平衡最小VaR权重：黄金ETF:0.2605, 红利低波ETF:0.5731, 纳斯达克ETF:0.1663
2025-04-02 重平衡最小VaR权重：黄金ETF:0.2605, 红利低波ETF:0.5731, 纳斯达克ETF:0.1663
2025-04-10 重平衡最小VaR权重：黄金ETF:0.3246, 红利低波ETF:0.5411, 纳斯达克ETF:0.1343
2025-04-17 重平衡最小VaR权重：黄金ETF:0.3246, 红利低波ETF:0.5411, 纳斯达克ETF:0.1343
